switch,inport,outport,src[eth],src_mac_addr(arp),dst[eth],dst_mac_addr(arp),src[arp],dst[arp],opcode,packet_in_count,Protocol,Pkt loss,rtt (avg),total_time,label,pkt_size
6,7,4294967291,00:00:00:88:19:fd,00:00:00:6c:fb:c3,ff:ff:ff:ff:ff:ff,00:00:00:3c:50:3a,10.0.0.171,10.0.0.12,1,1707,2,5,82,187121,1,1024
5,9,4294967291,00:00:00:6b:8e:e5,00:00:00:cb:58:b2,ff:ff:ff:ff:ff:ff,00:00:00:58:91:4a,10.0.0.137,10.0.0.12,2,1708,0,8,59,258247,1,638
7,5,4294967291,00:00:00:3d:67:44,00:00:00:ab:19:9b,ff:ff:ff:ff:ff:ff,00:00:00:b7:c7:32,10.0.0.112,10.0.0.12,2,1709,2,9,40,163054,1,1234
6,9,4294967291,00:00:00:04:ed:31,00:00:00:60:e8:6e,ff:ff:ff:ff:ff:ff,00:00:00:5e:77:6b,10.0.0.95,10.0.0.12,2,1710,0,2,2,227709,1,1450
8,5,4294967291,00:00:00:d2:61:c2,00:00:00:55:f9:1e,ff:ff:ff:ff:ff:ff,00:00:00:8b:c2:1f,10.0.0.119,10.0.0.12,2,1711,0,2,61,286784,1,1235
3,2,4294967291,00:00:00:85:f4:e6,00:00:00:d0:d3:ad,ff:ff:ff:ff:ff:ff,00:00:00:4b:34:6b,10.0.0.5,10.0.0.12,2,1712,2,2,79,229125,1,833
8,6,4294967291,00:00:00:1c:4d:03,00:00:00:3b:43:4e,ff:ff:ff:ff:ff:ff,00:00:00:ae:87:71,10.0.0.30,10.0.0.12,2,1713,1,8,56,312004,1,1261
5,9,4294967291,00:00:00:75:65:80,00:00:00:97:81:d9,ff:ff:ff:ff:ff:ff,00:00:00:5f:33:4d,10.0.0.214,10.0.0.12,2,1714,0,3,36,267445,1,1485
1,9,4294967291,00:00:00:97:f0:2f,00:00:00:bc:f6:91,ff:ff:ff:ff:ff:ff,00:00:00:8d:f3:24,10.0.0.194,10.0.0.12,2,1715,0,8,20,222621,1,641
4,9,4294967291,00:00:00:5c:37:69,00:00:00:2c:94:6c,ff:ff:ff:ff:ff:ff,00:00:00:95:d5:4a,10.0.0.215,10.0.0.12,1,1716,1,1,57,261039,1,1233
8,6,4294967291,00:00:00:db:b9:38,00:00:00:19:4f:e6,ff:ff:ff:ff:ff:ff,00:00:00:d9:b2:12,10.0.0.182,10.0.0.12,2,1717,0,0,12,138658,1,1393
6,1,4294967291,00:00:00:d1:d0:fb,00:00:00:71:f7:b1,ff:ff:ff:ff:ff:ff,00:00:00:e3:9d:39,10.0.0.246,10.0.0.12,2,1718,1,2,66,343995,1,1143
2,1,4294967291,00:00:00:f5:cc:89,00:00:00:6e:e3:cb,ff:ff:ff:ff:ff:ff,00:00:00:71:cf:d2,10.0.0.52,10.0.0.12,2,1719,2,1,36,321018,1,1490
7,3,4294967291,00:00:00:45:65:1c,00:00:00:9e:0f:6c,ff:ff:ff:ff:ff:ff,00:00:00:8e:bd:77,10.0.0.58,10.0.0.12,2,1720,1,3,19,387193,1,941
8,2,4294967291,00:00:00:9f:e5:58,00:00:00:0b:f2:d3,ff:ff:ff:ff:ff:ff,00:00:00:d5:1c:75,10.0.0.147,10.0.0.12,1,1721,1,5,8,325129,1,710
4,9,4294967291,00:00:00:1c:03:32,00:00:00:d8:6e:92,ff:ff:ff:ff:ff:ff,00:00:00:63:0d:9a,10.0.0.219,10.0.0.12,1,1722,1,8,76,300165,1,1089
1,4,4294967291,00:00:00:16:1c:43,00:00:00:87:53:a5,ff:ff:ff:ff:ff:ff,00:00:00:10:b2:7b,10.0.0.145,10.0.0.12,2,1723,0,1,55,376638,1,593
2,9,4294967291,00:00:00:71:93:89,00:00:00:d1:4b:e4,ff:ff:ff:ff:ff:ff,00:00:00:c9:c2:65,10.0.0.186,10.0.0.12,1,1724,2,4,47,118431,1,1161
5,7,4294967291,00:00:00:0c:ee:bc,00:00:00:bd:d8:70,ff:ff:ff:ff:ff:ff,00:00:00:48:5d:d4,10.0.0.194,10.0.0.12,2,1725,0,3,72,336566,1,1053
4,5,4294967291,00:00:00:f6:17:8a,00:00:00:e8:9d:80,ff:ff:ff:ff:ff:ff,00:00:00:7a:a7:d9,10.0.0.206,10.0.0.12,1,1726,1,1,52,336107,1,1439
4,8,4294967291,00:00:00:fb:9e:0a,00:00:00:9b:d8:9f,ff:ff:ff:ff:ff:ff,00:00:00:e5:64:cd,10.0.0.84,10.0.0.12,2,1727,2,0,35,319658,1,1374
1,2,4294967291,00:00:00:6a:e5:2b,00:00:00:b5:49:83,ff:ff:ff:ff:ff:ff,00:00:00:92:19:ec,10.0.0.84,10.0.0.12,2,1728,2,5,57,343998,1,1318
1,7,4294967291,00:00:00:15:0a:e3,00:00:00:52:1d:a2,ff:ff:ff:ff:ff:ff,00:00:00:7c:4c:1b,10.0.0.93,10.0.0.12,2,1729,0,5,89,353637,1,1315
8,9,4294967291,00:00:00:a2:f0:ed,00:00:00:88:5f:8d,ff:ff:ff:ff:ff:ff,00:00:00:bf:a5:f0,10.0.0.192,10.0.0.12,1,1730,2,0,1,311783,1,514
8,5,4294967291,00:00:00:8a:31:16,00:00:00:1d:ac:1e,ff:ff:ff:ff:ff:ff,00:00:00:c9:fa:8b,10.0.0.114,10.0.0.12,1,1731,2,6,8,312437,1,1298
1,1,4294967291,00:00:00:64:a6:86,00:00:00:88:f2:49,ff:ff:ff:ff:ff:ff,00:00:00:22:41:b2,10.0.0.135,10.0.0.12,1,1732,2,3,77,161324,1,1175
