switch,inport,outport,src[eth],src_mac_addr(arp),dst[eth],dst_mac_addr(arp),src[arp],dst[arp],opcode,packet_in_count,Protocol,Pkt loss,rtt (avg),total_time,label,pkt_size
4,1,4294967291,00:06:b4:0f:c7:3e,00:71:83:27:76:93,ff:ff:ff:ff:ff:ff,00:1a:8d:2b:d7:10,10.0.0.124,10.0.0.24,2,1533,0,7,93,289700,1,1079
3,5,4294967291,00:b1:10:4d:e3:6e,00:04:be:cc:43:bc,ff:ff:ff:ff:ff:ff,00:21:6f:18:5f:10,10.0.0.66,10.0.0.185,2,1712,2,9,23,216076,1,953
2,4,4294967291,00:4b:87:96:06:15,00:3a:19:30:1b:e8,ff:ff:ff:ff:ff:ff,00:ab:0f:b5:ae:87,10.0.0.150,10.0.0.142,1,1949,0,4,72,200775,1,854
4,6,4294967291,00:d2:ab:6a:b1:14,00:47:93:bd:4b:58,ff:ff:ff:ff:ff:ff,00:5d:64:8a:26:a4,10.0.0.9,10.0.0.175,2,1591,0,8,14,177822,1,813
4,5,4294967291,00:5c:24:9f:dc:a7,00:6d:35:d0:07:22,ff:ff:ff:ff:ff:ff,00:62:e8:99:b2:5b,10.0.0.118,10.0.0.204,2,1400,0,5,41,176605,1,1422
1,1,4294967291,00:6a:ea:b5:4a:8e,00:43:8b:a9:5f:a2,ff:ff:ff:ff:ff:ff,00:2d:f3:71:2d:34,10.0.0.219,10.0.0.127,1,1328,2,10,25,268162,1,1478
4,3,4294967291,00:f0:b0:a7:49:a8,00:ea:e6:11:1a:ce,ff:ff:ff:ff:ff:ff,00:de:36:dc:a7:4c,10.0.0.225,10.0.0.58,2,1791,1,8,68,126585,1,519
6,2,4294967291,00:9b:ec:19:52:f4,00:35:e8:fb:41:86,ff:ff:ff:ff:ff:ff,00:eb:d9:94:06:3a,10.0.0.43,10.0.0.196,2,1186,2,10,52,100759,1,903
1,8,4294967291,00:0e:b9:4d:47:14,00:07:34:ac:ef:d9,ff:ff:ff:ff:ff:ff,00:bc:f0:45:9d:47,10.0.0.87,10.0.0.58,1,1391,1,7,99,195366,1,791
2,5,4294967291,00:4f:9f:78:46:13,00:95:fa:4b:05:40,ff:ff:ff:ff:ff:ff,00:25:23:26:62:0b,10.0.0.33,10.0.0.37,1,1383,1,9,30,117791,1,1360
3,3,4294967291,00:15:f4:4e:ae:a0,00:a5:b6:0f:6a:c6,ff:ff:ff:ff:ff:ff,00:2c:b2:11:7e:cb,10.0.0.156,10.0.0.41,1,1575,2,3,86,274528,1,732
1,7,4294967291,00:31:98:86:99:e0,00:48:34:7b:d9:2d,ff:ff:ff:ff:ff:ff,00:43:e5:f9:39:a2,10.0.0.160,10.0.0.134,2,1698,0,1,4,116454,1,1149
8,5,4294967291,00:e3:60:3a:de:dd,00:f0:18:99:8a:72,ff:ff:ff:ff:ff:ff,00:34:ae:d0:78:85,10.0.0.25,10.0.0.28,1,1729,1,6,87,216545,1,983
4,6,4294967291,00:c7:e2:5e:78:2e,00:ff:de:90:e5:56,ff:ff:ff:ff:ff:ff,00:a1:07:5b:70:75,10.0.0.15,10.0.0.180,2,1904,2,9,82,241470,1,610
6,1,4294967291,00:43:b6:06:fd:dc,00:35:8e:75:af:e3,ff:ff:ff:ff:ff:ff,00:ce:54:bb:8f:5e,10.0.0.113,10.0.0.165,1,1267,1,5,39,148823,1,570
