switch,inport,outport,src[eth],src_mac_addr(arp),dst[eth],dst_mac_addr(arp),src[arp],dst[arp],opcode,packet_in_count,Protocol,Pkt loss,rtt (avg),total_time,label,pkt_size
7,4,4294967291,00:bc:09:a7:b2:ec,00:11:81:97:2c:cb,ff:ff:ff:ff:ff:ff,00:94:dc:fb:78:c6,10.0.0.164,10.0.0.120,2,1025,2,8,63,157460,0,1366
4,5,4294967291,00:53:b9:9f:87:6f,00:ff:21:cb:f1:d3,ff:ff:ff:ff:ff:ff,00:24:05:96:b7:a1,10.0.0.242,10.0.0.120,2,1985,1,9,58,230330,0,1126
7,4,4294967291,00:58:2f:ef:f5:4c,00:12:9d:88:de:a2,ff:ff:ff:ff:ff:ff,00:9d:a6:1a:8f:8c,10.0.0.204,10.0.0.120,2,1252,2,0,64,227377,0,724
8,8,4294967291,00:ca:84:04:8d:f1,00:ef:4d:38:ac:45,ff:ff:ff:ff:ff:ff,00:55:45:ff:b2:07,10.0.0.150,10.0.0.120,2,1482,1,4,62,225135,0,1005
2,5,4294967291,00:01:76:69:fe:f5,00:c1:fc:02:eb:0a,ff:ff:ff:ff:ff:ff,00:3a:0f:dd:bf:ae,10.0.0.13,10.0.0.175,1,1965,2,10,54,140730,1,1131
4,5,4294967291,00:57:21:09:1f:78,00:18:5e:01:e7:74,ff:ff:ff:ff:ff:ff,00:ad:6b:a2:03:0b,10.0.0.190,10.0.0.120,1,1937,1,9,3,297434,0,665
4,9,4294967291,00:06:ff:09:21:64,00:f7:6d:cb:22:f0,ff:ff:ff:ff:ff:ff,00:c2:8a:55:cf:b9,10.0.0.115,10.0.0.120,1,1518,1,4,73,251138,0,1498
7,2,4294967291,00:3f:fa:30:e2:20,00:88:5e:2a:b9:ed,ff:ff:ff:ff:ff:ff,00:ff:22:d0:05:07,10.0.0.1,10.0.0.120,1,1395,2,4,37,183363,0,567
9,9,4294967291,00:ff:c6:91:62:79,00:ad:e2:65:bf:68,ff:ff:ff:ff:ff:ff,00:ae:44:84:06:c4,10.0.0.176,10.0.0.120,2,1209,0,6,49,278706,0,906
1,9,4294967291,00:03:cc:91:65:98,00:3b:ca:d5:7f:a7,ff:ff:ff:ff:ff:ff,00:52:72:a6:79:20,10.0.0.115,10.0.0.88,2,1210,1,3,99,269756,1,1374
10,10,4294967291,00:f2:40:e7:16:9b,00:df:a3:27:fd:85,ff:ff:ff:ff:ff:ff,00:f4:af:28:47:b2,10.0.0.20,10.0.0.120,1,1450,0,8,89,223834,0,624
5,1,4294967291,00:75:94:3e:ba:4b,00:8c:6b:2c:aa:e7,ff:ff:ff:ff:ff:ff,00:7b:3b:b2:ce:39,10.0.0.242,10.0.0.120,1,1339,2,10,76,229335,0,1144
8,7,4294967291,00:0c:ba:c3:b9:88,00:63:d4:9d:d4:02,ff:ff:ff:ff:ff:ff,00:c9:81:df:dc:86,10.0.0.176,10.0.0.120,1,1091,2,7,10,114347,0,1420
8,10,4294967291,00:d7:98:d8:b1:70,00:5a:c0:87:96:b8,ff:ff:ff:ff:ff:ff,00:64:76:3b:a1:70,10.0.0.149,10.0.0.120,2,1518,1,5,99,239749,0,1363
2,4,4294967291,00:e3:60:be:06:09,00:30:a6:dc:43:90,ff:ff:ff:ff:ff:ff,00:88:9e:6c:d6:de,10.0.0.161,10.0.0.180,1,1074,2,7,9,160698,1,1024
1,4,4294967291,00:96:35:f6:75:f8,00:7b:e1:bd:42:6e,ff:ff:ff:ff:ff:ff,00:41:e4:3f:e3:2a,10.0.0.42,10.0.0.120,1,1831,1,5,63,174007,0,1274
8,5,4294967291,00:03:56:4d:82:52,00:27:85:0c:6c:92,ff:ff:ff:ff:ff:ff,00:6c:60:34:94:c1,10.0.0.38,10.0.0.120,2,1295,2,7,83,119546,0,860
6,3,4294967291,00:71:86:7a:25:13,00:51:77:23:2c:a7,ff:ff:ff:ff:ff:ff,00:a7:88:e1:62:0c,10.0.0.96,10.0.0.120,2,1584,1,3,78,169297,0,945
4,8,4294967291,00:7d:5f:c3:5a:4d,00:38:56:1d:29:17,ff:ff:ff:ff:ff:ff,00:02:a8:3a:3f:5f,10.0.0.79,10.0.0.120,1,1003,0,10,75,115842,0,684
2,1,4294967291,00:5c:68:b5:0f:e2,00:98:04:4c:a5:3b,ff:ff:ff:ff:ff:ff,00:89:44:32:57:1c,10.0.0.15,10.0.0.221,2,1706,0,10,69,238343,1,681
6,8,4294967291,00:85:0b:2c:bf:b8,00:73:dc:70:36:56,ff:ff:ff:ff:ff:ff,00:37:ba:c0:c5:63,10.0.0.178,10.0.0.120,1,1081,2,5,83,293295,0,1370
6,8,4294967291,00:95:5c:bf:ce:ec,00:31:d5:a0:72:f2,ff:ff:ff:ff:ff:ff,00:aa:e5:6b:35:6c,10.0.0.110,10.0.0.120,1,1272,2,0,10,241971,0,671
4,10,4294967291,00:34:9c:9e:ca:aa,00:5e:a3:1f:64:d0,ff:ff:ff:ff:ff:ff,00:44:9e:9e:09:9a,10.0.0.48,10.0.0.120,1,1032,2,0,73,201695,0,651
6,1,4294967291,00:ec:ce:40:ea:be,00:80:47:29:9a:c3,ff:ff:ff:ff:ff:ff,00:42:5f:de:ce:0d,10.0.0.65,10.0.0.120,2,1371,1,0,31,197034,0,1254
10,3,4294967291,00:14:eb:57:ff:28,00:2f:6f:53:b8:99,ff:ff:ff:ff:ff:ff,00:bf:64:64:15:74,10.0.0.31,10.0.0.59,2,1821,0,10,70,238523,1,1387
7,1,4294967291,00:26:09:a5:95:17,00:9d:cd:eb:f5:41,ff:ff:ff:ff:ff:ff,00:18:7b:f2:84:fb,10.0.0.2,10.0.0.120,1,1247,0,10,61,275639,0,532
1,8,4294967291,00:1b:66:fd:a0:7c,00:c1:91:aa:f9:f8,ff:ff:ff:ff:ff:ff,00:a4:4b:2b:d5:26,10.0.0.180,10.0.0.120,1,1683,0,6,27,263166,0,882
6,3,4294967291,00:90:b7:95:46:73,00:5d:8f:2e:29:d8,ff:ff:ff:ff:ff:ff,00:c8:23:66:3e:db,10.0.0.124,10.0.0.120,1,1084,1,1,87,242483,0,1262
1,2,4294967291,00:c5:5d:94:49:58,00:7f:79:31:60:11,ff:ff:ff:ff:ff:ff,00:70:49:97:c3:0e,10.0.0.63,10.0.0.120,2,1317,2,3,65,251262,0,1168
6,4,4294967291,00:5c:c2:12:bf:14,00:79:26:1d:e1:1d,ff:ff:ff:ff:ff:ff,00:bc:0b:0f:d3:1e,10.0.0.19,10.0.0.101,1,1174,2,9,75,298255,1,1369
1,8,4294967291,00:36:24:2d:21:71,00:a3:67:8f:fa:cc,ff:ff:ff:ff:ff:ff,00:88:82:63:f6:27,10.0.0.47,10.0.0.120,2,1000,0,2,8,193335,0,1056
3,2,4294967291,00:07:18:30:6a:ba,00:6e:12:25:94:89,ff:ff:ff:ff:ff:ff,00:68:66:48:0d:fa,10.0.0.223,10.0.0.120,2,1606,2,8,85,217317,0,589
6,8,4294967291,00:8b:cf:25:c6:77,00:4a:32:68:c7:56,ff:ff:ff:ff:ff:ff,00:c1:94:65:21:87,10.0.0.249,10.0.0.120,2,1978,0,1,81,292596,0,1234
9,4,4294967291,00:ad:c6:16:d5:e3,00:e4:92:2f:22:7a,ff:ff:ff:ff:ff:ff,00:7c:24:b3:32:68,10.0.0.53,10.0.0.120,2,1801,2,6,32,104354,0,1398
10,6,4294967291,00:13:a9:d1:c1:77,00:db:a8:57:ec:74,ff:ff:ff:ff:ff:ff,00:7b:2c:15:39:44,10.0.0.48,10.0.0.89,1,1890,1,0,90,296108,1,1189
4,7,4294967291,00:ef:c2:1d:f5:ea,00:8d:1c:f9:2c:ea,ff:ff:ff:ff:ff:ff,00:cd:29:1b:83:46,10.0.0.119,10.0.0.120,2,1570,2,9,76,151809,0,1495
9,6,4294967291,00:d0:7e:66:52:a4,00:9f:3f:bd:9e:a6,ff:ff:ff:ff:ff:ff,00:3d:59:cd:ac:d2,10.0.0.188,10.0.0.120,1,1297,2,1,36,163195,0,1233
3,4,4294967291,00:b5:82:9e:07:46,00:e1:8e:81:65:ab,ff:ff:ff:ff:ff:ff,00:8c:5d:5c:ea:0b,10.0.0.11,10.0.0.120,1,1625,2,2,86,173329,0,616
9,4,4294967291,00:f1:81:d7:aa:c1,00:64:fc:dc:7f:a0,ff:ff:ff:ff:ff:ff,00:38:3d:db:88:ac,10.0.0.205,10.0.0.120,1,1623,2,8,91,225673,0,1156
10,10,4294967291,00:3c:23:82:50:c4,00:fc:35:ff:a9:0b,ff:ff:ff:ff:ff:ff,00:c1:b2:d0:f1:03,10.0.0.202,10.0.0.36,2,1949,1,5,23,121127,1,834
3,7,4294967291,00:b4:5f:a2:e3:31,00:9a:f2:99:75:42,ff:ff:ff:ff:ff:ff,00:bf:72:cd:11:5b,10.0.0.132,10.0.0.120,1,1534,2,6,77,152763,0,1011
1,3,4294967291,00:05:5d:19:c6:64,00:52:e0:2e:70:1c,ff:ff:ff:ff:ff:ff,00:1d:ad:57:f7:d4,10.0.0.193,10.0.0.120,2,1015,1,7,28,207677,0,1030
